,dataset,timestamp,val_auroc_score,val_gene_expr_mse_score,lambda_edge_recon_,lambda_gene_expr_recon_,n_neighbors,nichenet_keep_target_genes_ratio,add_fc_gps_instead_of_gp_dict_gps,loss_weights
341,vizgen_merfish_human_ovarian_cancer,06072023_004642_16,0.9988160590439603,14.0269794791347,50000.0,0.0,16,0.01,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
342,vizgen_merfish_human_ovarian_cancer,05072023_235916_15,0.9983237761920989,14.043607553603835,50000.0,0.0,12,0.01,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
343,vizgen_merfish_human_ovarian_cancer,05072023_233342_14,0.9963117695791505,14.391823341507383,50000.0,0.0,8,0.01,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
344,vizgen_merfish_human_ovarian_cancer,05072023_224648_13,0.9894256471706894,14.804471743259981,50000.0,0.0,4,0.01,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
345,vizgen_merfish_human_ovarian_cancer,05072023_224052_12,0.9855382868633689,8.386249579987323,0.0,300.0,16,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
346,vizgen_merfish_human_ovarian_cancer,05072023_223856_11,0.9902491693881501,8.44110491105771,0.0,300.0,12,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
347,vizgen_merfish_human_ovarian_cancer,05072023_222348_10,0.9847730104309046,8.252368317646624,0.0,300.0,8,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
348,vizgen_merfish_human_ovarian_cancer,05072023_211305_9,0.9278080037883846,8.772911114735757,0.0,300.0,4,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
349,vizgen_merfish_human_ovarian_cancer,05072023_210741_8,0.9700921433746664,8.796602219424216,0.0,30.0,16,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
350,vizgen_merfish_human_ovarian_cancer,05072023_210741_5,0.946029726079716,8.685484435067494,0.0,30.0,4,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
351,vizgen_merfish_human_ovarian_cancer,05072023_210741_7,0.9769793190160374,8.509453782050441,0.0,30.0,12,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
