,dataset,timestamp,val_auroc_score,val_gene_expr_mse_score,lambda_edge_recon_,lambda_gene_expr_recon_,n_neighbors,nichenet_keep_target_genes_ratio,add_fc_gps_instead_of_gp_dict_gps,loss_weights
198,starmap_plus_mouse_cns,02072023_103935_13,0.9815884491154658,0.9676672183275685,50000.0,0.0,4,0.01,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
199,starmap_plus_mouse_cns,02072023_102822_12,0.995479900925535,0.6326447966611943,0.0,300.0,16,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
200,starmap_plus_mouse_cns,02072023_101332_11,0.9957506302893626,0.6147340296973655,0.0,300.0,12,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
201,starmap_plus_mouse_cns,02072023_101216_10,0.9906672866548338,0.603641869127869,0.0,300.0,8,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
202,starmap_plus_mouse_cns,02072023_092745_9,0.9480772695382034,0.6927817398851259,0.0,300.0,4,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
203,starmap_plus_mouse_cns,02072023_092520_8,0.9946992993459423,0.6844389750258859,0.0,30.0,16,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
204,starmap_plus_mouse_cns,02072023_090838_7,0.9940468525976299,0.6610650534794621,0.0,30.0,12,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
205,starmap_plus_mouse_cns,02072023_085939_6,0.991107997783691,0.6386326089433756,0.0,30.0,8,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
206,starmap_plus_mouse_cns,02072023_084038_5,0.9681289382852091,0.6621661826331435,0.0,30.0,4,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
207,starmap_plus_mouse_cns,02072023_083036_4,0.5054696028727749,0.9410597846451316,0.0,0.0,16,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
208,starmap_plus_mouse_cns,02072023_080046_3,0.5118081370907426,0.921447242846487,0.0,0.0,12,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
209,starmap_plus_mouse_cns,02072023_075143_2,0.5130447349690165,0.941689298526719,0.0,0.0,8,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
210,starmap_plus_mouse_cns,02072023_075135_1,0.5486149024286853,0.976679303145054,0.0,0.0,4,0.01,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
211,starmap_plus_mouse_cns,01072023_155436_36,0.9983683163064592,0.6267137617982441,500000.0,300.0,16,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
212,starmap_plus_mouse_cns,01072023_150751_35,0.9974958702550615,0.6226269231563484,500000.0,300.0,12,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
