,source,target,strength
398,Surface Ectoderm,Cranial Mesoderm,-9.697840255770386
396,Allantois,Cranial Mesoderm,0.0
395,Forebrain,Cranial Mesoderm,-2.0684526623594297
394,Spinal cord,Cranial Mesoderm,-5.62453500032441
393,Mix,Cranial Mesoderm,0.0
391,Angiogenesis,Cranial Mesoderm,0.5349462408982242
390,Neural Crest (Neural Tube),Cranial Mesoderm,0.0
389,Hindbrain,Cranial Mesoderm,0.0
392,Ventral Gut,Cranial Mesoderm,-17320.128870589546
387,Midbrain,Cranial Mesoderm,2.7101494012663485
386,Hematopoiesis,Cranial Mesoderm,0.0
385,Developing Heart,Cranial Mesoderm,-2.793687330234512
384,Dorsal Gut,Cranial Mesoderm,-5515.018625257358
383,Mixed mesenchymal mesoderm,Cranial Mesoderm,0.0
397,Muscles,Cranial Mesoderm,-0.24175492495902096
382,Floor Plate,Cranial Mesoderm,-1247.4638729805135
388,Presomitic Mesoderm,Cranial Mesoderm,2.4954900025058286
381,Splanchnic Mesoderm,Cranial Mesoderm,-24.384953842035376
106,Hematopoiesis,Developing Heart,0.0
105,Developing Heart,Developing Heart,-33.43664957598302
104,Dorsal Gut,Developing Heart,-66007.29551301306
100,Lateral Plate Mesoderm,Developing Heart,-5.052208064833066
102,Floor Plate,Developing Heart,-14930.451209816189
101,Splanchnic Mesoderm,Developing Heart,-291.85483562121266
107,Midbrain,Developing Heart,32.436813829519096
103,Mixed mesenchymal mesoderm,Developing Heart,0.0
108,Presomitic Mesoderm,Developing Heart,29.867631868148933
113,Mix,Developing Heart,0.0
110,Neural Crest (Neural Tube),Developing Heart,0.0
111,Angiogenesis,Developing Heart,6.402581207039318
112,Ventral Gut,Developing Heart,-207298.45941927773
114,Spinal cord,Developing Heart,-67.31805803690723
115,Forebrain,Developing Heart,-24.756573896913405
116,Allantois,Developing Heart,0.0
117,Muscles,Developing Heart,-2.89347867302112
118,Surface Ectoderm,Developing Heart,-116.06999923246096
119,Cranial Mesoderm,Developing Heart,-27.22198356598808
109,Hindbrain,Developing Heart,0.0
92,Ventral Gut,Dorsal Gut,105762.18348997686
93,Mix,Dorsal Gut,0.0
94,Spinal cord,Dorsal Gut,34.345189183910406
95,Forebrain,Dorsal Gut,12.630625998878212
91,Angiogenesis,Dorsal Gut,-3.266550896351704
97,Muscles,Dorsal Gut,1.4762320144475543
98,Surface Ectoderm,Dorsal Gut,59.21807904841292
99,Cranial Mesoderm,Dorsal Gut,13.888460285390021
96,Allantois,Dorsal Gut,0.0
90,Neural Crest (Neural Tube),Dorsal Gut,0.0
89,Hindbrain,Dorsal Gut,0.0
88,Presomitic Mesoderm,Dorsal Gut,-15.238251026560654
81,Splanchnic Mesoderm,Dorsal Gut,148.90223865569757
82,Floor Plate,Dorsal Gut,7617.408855156598
83,Mixed mesenchymal mesoderm,Dorsal Gut,0.0
80,Lateral Plate Mesoderm,Dorsal Gut,2.577600228575198
85,Developing Heart,Dorsal Gut,17.059138199346947
86,Hematopoiesis,Dorsal Gut,0.0
87,Midbrain,Dorsal Gut,-16.54902919046389
84,Dorsal Gut,Dorsal Gut,33676.4475687908
47,Midbrain,Floor Plate,-12.471002702903041
41,Splanchnic Mesoderm,Floor Plate,112.20961661083801
42,Floor Plate,Floor Plate,5740.320192106249
43,Mixed mesenchymal mesoderm,Floor Plate,0.0
44,Dorsal Gut,Floor Plate,25377.86741572546
45,Developing Heart,Floor Plate,12.855410196257491
46,Hematopoiesis,Floor Plate,0.0
48,Presomitic Mesoderm,Floor Plate,-11.483227659617539
52,Ventral Gut,Floor Plate,79700.17219671472
50,Neural Crest (Neural Tube),Floor Plate,0.0
51,Angiogenesis,Floor Plate,-2.461604520043187
40,Lateral Plate Mesoderm,Floor Plate,1.9424256883955477
53,Mix,Floor Plate,0.0
54,Spinal cord,Floor Plate,25.881817127440712
55,Forebrain,Floor Plate,9.518175909807095
56,Allantois,Floor Plate,0.0
49,Hindbrain,Floor Plate,0.0
59,Cranial Mesoderm,Floor Plate,10.466053553042606
58,Surface Ectoderm,Floor Plate,44.62550735598666
57,Muscles,Floor Plate,1.112457608866623
317,Muscles,Forebrain,-0.018464146213981916
300,Lateral Plate Mesoderm,Forebrain,-0.03223963918667384
301,Splanchnic Mesoderm,Forebrain,-1.8624123303252718
302,Floor Plate,Forebrain,-95.27564061529112
303,Mixed mesenchymal mesoderm,Forebrain,0.0
304,Dorsal Gut,Forebrain,-421.21214402083524
305,Developing Heart,Forebrain,-0.2133691851379759
306,Hematopoiesis,Forebrain,0.0
307,Midbrain,Forebrain,0.2069889364826777
308,Presomitic Mesoderm,Forebrain,0.1905942238389064
309,Hindbrain,Forebrain,0.0
310,Neural Crest (Neural Tube),Forebrain,0.0
311,Angiogenesis,Forebrain,0.04085677100575748
312,Ventral Gut,Forebrain,-1322.832996952526
313,Mix,Forebrain,0.0
314,Spinal cord,Forebrain,-0.42957650872780584
316,Allantois,Forebrain,0.0
319,Cranial Mesoderm,Forebrain,-0.17371155677889075
318,Surface Ectoderm,Forebrain,-0.7406771153586065
315,Forebrain,Forebrain,-0.15797904593248122
134,Spinal cord,Hematopoiesis,-10062.945913434089
138,Surface Ectoderm,Hematopoiesis,-17350.561773606645
139,Cranial Mesoderm,Hematopoiesis,-4069.240204920153
121,Splanchnic Mesoderm,Hematopoiesis,-43627.51260323494
122,Floor Plate,Hematopoiesis,-2231857.6525956206
123,Mixed mesenchymal mesoderm,Hematopoiesis,0.0
124,Dorsal Gut,Hematopoiesis,-9867008.407689806
125,Developing Heart,Hematopoiesis,-4998.230876254567
126,Hematopoiesis,Hematopoiesis,0.0
127,Midbrain,Hematopoiesis,4848.771825705791
128,Presomitic Mesoderm,Hematopoiesis,4464.721247406807
120,Lateral Plate Mesoderm,Hematopoiesis,-755.2222684730118
130,Neural Crest (Neural Tube),Hematopoiesis,0.0
131,Angiogenesis,Hematopoiesis,957.0809121897613
132,Ventral Gut,Hematopoiesis,-30987720.7677432
133,Mix,Hematopoiesis,0.0
135,Forebrain,Hematopoiesis,-3700.701882843865
136,Allantois,Hematopoiesis,0.0
